keys,en
"No me hagas perder el tiempo.","Don't waste my time."
"Apúrese con el churro, señor, que ya estamos por cerrar.","Hurry up with the churro, sir — we're about to close."
"¿Tengo monos en la cara? Vaya, confiese y deje de asustarme.","Do I have something on my face? Go confess and stop scaring me."
"No le voy a cobrar los churros, ya cerré caja por hoy.","I'm not charging you for the churros — I already closed the register for today."
"¿Me va a pagar o qué?","Are you gonna pay or what?"
"¿Por qué me mira así?","Why are you looking at me like that?"
"Está bien pálido.","You're looking real pale."
"¿Y que no anda pisto?","What, you got no cash?"
"Es que no vió todo lo que estaba pasando... el fantasma... usted estaba ensangrentada...","It's just that you didn't see everything that was happening... the ghost... you were covered in blood..."
"¿Y que está loco? Aquí no ha pasado nada.","What, are you crazy? Nothing happened here."
"Ten, llévatelos. Te los regalo. Te estás quedando loco.","Here, take them. They're on the house. You're losing it."
"Deberías ir a la iglesia a confesar tus pecados que te están persiguiendo.","You should go to church and confess the sins that are chasing you."
"La iglesia está saliendo de la gasolinera a la derecha al final de la calle.","The church is out of the gas station, to the right, at the end of the street."
"Oye, esa es mi linterna. ¿Qué haces?","Hey, that's my flashlight. What are you doing?"
"La necesitaba, acabo de recogerla.","I needed it — I just picked it up."
"Ah, claro. Por ahí no hay mucha luz.","Ah, right. There isn't much light around here."
"Solo la vi tirada en el suelo.","I just saw it lying on the ground."
"Bueno, al menos no te la llevaste a escondidas.","Well, at least you didn't sneak off with it."
"Mira, quédatela. El gobierno me las regala de todos modos.","Look, keep it. The government hands them out to me anyway."
"Tiene tres modos que puedes cambiar: luz lejana, luz cercana y apagado.","It's got three modes you can switch: far light, near light, and off."
"¿De verdad voy a necesitar una linterna a pleno mediodía?","Am I really gonna need a flashlight in the middle of the day?"
"Tienes razón... No sería un juego de miedo si no fuera de noche.","You're right... It wouldn't be a horror game if it wasn't nighttime."
"Ahora sí. Mejor.","There we go. Better."
"Como te decía, la vas a necesitar. Yo me voy... El del surtidor de la gasolinera me cae mal igual.","Like I was saying, you're gonna need it. I'm out of here... That gas station pump guy still gets on my nerves."
"Antes de eso, ¿gasolinera? ¿Está cerca?","Before that — gas station? Is it nearby?"
"Literalmente a diez metros... Tienen baños, comida y gasolina.","Literally ten meters away... They've got bathrooms, food, and gas."
"Acércate por ahí si necesitas algo.","Head over there if you need anything."
"¡QUITESE! ¡Ese baño está MALDITO.","GET OUT OF THE WAY! That bathroom is CURSED."
"¿Cómo que maldito?","What do you mean, cursed?"
"¡Está saliendo sangre del lavamanos! ¡Y hay una cara de venado en la pared!","There's blood coming out of the sink! And there's a deer face on the wall!"
"Aquí no hay venados, muchacho. estamos en Apopa.","There are no deer here, kid. We're in Apopa."
"Y tampoco hay agua, porque... estamos en Apopa.","And there's no water either, because... we're in Apopa."
"Mejor váyase a comer algo y a tomarse una soda. Usted ya anda viendo cosas.","Better go eat something and grab a soda. You're already seeing things."
"Yo me voy, porque la oficina me está llamando y tengo que hacer unas llamadas.","I'm leaving — the office is calling and I've got some calls to make."
"La manija no cede. Está cerrada con llave.","The handle won't budge. It's locked."
"Tendré que buscar esa llave en algún lado...","I'll have to find that key somewhere..."
"Sigue cerrada. Necesito esa llave.","Still locked. I need that key."
"La llave encaja.","The key fits."
"Una coca me caería bien ahorita.","A Coke would hit the spot right now."
"Coca normal","Regular Coke"
"Sí... necesito azúcar, no excusas.","Yeah... I need sugar, not excuses."
"Coca Zero","Coke Zero"
"¿Coca Zero? No, ahorita necesito azúcar de verdad.","Coke Zero? No — right now I need real sugar."
"Mejor agarro una normal.","Better grab a regular one."
"¿Solo la coca va a llevar?","Just the Coke?"
"Sí, solo eso por ahora.","Yeah, just that for now."
"Mire que los churros están en promoción.","You know the churros are on sale."
"Vaya agarre uno, así se lo cobro todo junto.","Go grab one — that way I can ring it all up together."
"Está bien, voy por uno.","Alright, I'll go get one."
"Ahí está, coca y churro.","There you go — Coke and churro."
"Sí, con eso estoy bien.","Yeah, that'll do me."
"Serían dos con cincuenta.","That'll be two fifty."
"Hace un calor horrible... tal vez un poco de hielo en la espalda me refresque.","It's brutally hot... maybe a little ice on my back will cool me down."
"[[Holis|Hola|Buenas buenas]], que haces por aqui tan solito?.","[[Heyyy|Hi|Well well well]], what are you doing around here all alone?"
"No te dijeron que por aqui es ... peligroso si andas por tu cuenta?.","Didn't anybody tell you it's ... dangerous around here if you're on your own?"
"Nunca estas solo si estas con dios","You're never alone if you're with God"
"Si si si, ojalá te ayude... lo necesitaras. ","Yeah yeah yeah, hope that helps... you're gonna need it. "
"Quien eres?","Who are you?"
"Yo solo estoy aqui para darle dulcitos a los preguntones.","I'm just here to hand out little treats to the nosy ones."
"Pero entonces, quieres unos dulcitos?.","So then, you want some treats?"
"Mejor me quedo asi, adiós.","I'd rather stay like this — bye."
