keys,es,en
CREDITS_INFO_01,Proyecto 13F será un juego de terror psicológico inspirado en historias locales,Project 13F will be a psychological horror game inspired by local stories
CREDITS_INFO_02,"La historia seguirá a un vigilante asignado a la Iglesia Virgen de Fátima, en San Salvador","The story follows a night watchman assigned to the Church of Our Lady of Fátima, in San Salvador"
CREDITS_INFO_03,Durante un turno que no debió aceptar. Esperalo Pronto ...,On a shift he never should have taken. Coming soon...
CREDITS_THANKS_CONTINUE,Gracias por jugar. Da click para volver al menu principal,Thanks for playing. Click to return to the main menu
INTRO_P01,Gracias por querer jugar esta demo.,Thanks for wanting to play this demo.
INTRO_P02,Esperamos que la disfruten tanto como nosotros la hemos disfrutado creándola.,We hope you enjoy it as much as we enjoyed making it.
INTRO_P03,Todos sus comentarios serán bien recibidos.,All feedback is welcome.
INTRO_P04,Esta es una demo de prueba de jugabilidad y mecánicas.,This is a gameplay and mechanics test demo.
INTRO_P05,No tiene nada que ver con la historia real del juego final.,It has nothing to do with the real story of the final game.
INTRO_P06,No esperen lore definitivo: solo escenas con objetivos para probar la jugabilidad.,Don't expect final lore: just scenes with objectives to try out the gameplay.
INTRO_P07,"Muchas gracias de parte de Samuel, Walter y Diego.","Thank you so much from Samuel, Walter, and Diego."
INTRO_P08,Ahora sí… vamos al demo.,Alright… on to the demo.
INTRO_THOUGHT_01,Estoy muy cansando… ya no puedo caminar más.,I'm so exhausted… I can't walk any farther.
INTRO_THOUGHT_02,El carro se quedó sin gasolina a kilómetros de cualquier lugar.,The car ran out of gas miles from anywhere.
INTRO_THOUGHT_03,"Tengo hambre y sed, pero sobre todo ganas de ir al baño.","I'm hungry and thirsty, but more than anything I really need to pee."
INTRO_THOUGHT_04,Llevo rato caminando sin ver a nadie.,I've been walking a while without seeing anyone.
INTRO_THOUGHT_05,Tiene que aparecer en algún momento un lugar donde pueda pedir ayuda… ¿no?,Somewhere I can ask for help has to show up eventually… right?
THOUGHT_COCA_TO_COUNTER,ahora iré a dejarla en el mostrador,now I'll go leave it on the counter
THOUGHT_GET_CHURRO,ahora iré por un churro,now I'll go grab a churro
THOUGHT_BLADDER_EMPTY,ya no tenía deseos de usar el inodoro,I didn't feel like using the toilet anymore
THOUGHT_POST_TOILET,"ya no quería ir al baño, era mejor tomar algo","I didn't want to go to the bathroom anymore — better to grab a drink"
THOUGHT_WASH_HANDS,tengo que lavarme las manos,I need to wash my hands
THOUGHT_SINK_1,¿qué? ¿qué es esto? ....,what? what is this? ....
THOUGHT_SINK_2,¿esto es sangre?????,is this blood?????
THOUGHT_SINK_2_SHORT,¿esto es sangre?,is this blood?
THOUGHT_SINK_FLEE,"no sé qué era eso, solo pensé en huir","I don't know what that was — I just thought about running"
UI_INSTR_BODY_KB,"Controles (teclado y ratón)

• WASD — caminar y moverte por el entorno.
• Mantén SHIFT — correr.
• Espacio — saltar.

• E — interactuar y recoger objetos.
• Q — soltar lo que llevas en la mano.
• F — usar / cambiar lo que llevas en la mano (linterna).
• Ratón — mirar.
• Esc — pausa.

Explora la zona: debería haber una linterna cerca.
Recógela con [E] y cámbiala con [F] cuando la lleves en la mano.","Controls (keyboard and mouse)

• WASD — walk and move around.
• Hold SHIFT — sprint.
• Space — jump.

• E — interact and pick up items.
• Q — drop whatever you're holding.
• F — use / switch what you're holding (flashlight).
• Mouse — look around.
• Esc — pause.

Explore the area: there should be a flashlight nearby.
Pick it up with [E] and switch it with [F] when you're holding it."
UI_INSTR_BODY_PAD_XBOX,"Controles (%s)

• Stick izquierdo — caminar.
• L3 — correr.
• %s — saltar.
• %s — interactuar (puertas, NPCs, leer el libro).
• %s — recoger objetos / usar en la mano.
• %s — soltar lo que llevas.
• Stick derecho — mirar.
• %s — pausa / menús.
• %s — confirmar en menús.
• %s — volver en menús.

Explora la zona: debería haber una linterna cerca.
Recógela con %s y cámbiala con %s en la mano.","Controls (%s)

• Left stick — walk.
• L3 — sprint.
• %s — jump.
• %s — interact (doors, NPCs, read the book).
• %s — pick up items / use what's in hand.
• %s — drop what you're holding.
• Right stick — look around.
• %s — pause / menus.
• %s — confirm in menus.
• %s — back in menus.

Explore the area: there should be a flashlight nearby.
Pick it up with %s and switch it with %s while holding it."
UI_INSTR_BODY_PAD_PS,"Controles (%s)

• Stick izquierdo — caminar.
• L3 (stick izquierdo) — correr.
• %s — saltar.
• %s — interactuar (puertas, NPCs, leer el libro).
• %s — recoger objetos / usar en la mano.
• %s — soltar lo que llevas.
• Stick derecho — mirar.
• %s — pausa / menús.
• %s — confirmar en menús.
• %s — volver en menús.

Explora la zona: debería haber una linterna cerca.
Recógela con %s y cámbiala con %s en la mano.","Controls (%s)

• Left stick — walk.
• L3 (left stick) — sprint.
• %s — jump.
• %s — interact (doors, NPCs, read the book).
• %s — pick up items / use what's in hand.
• %s — drop what you're holding.
• Right stick — look around.
• %s — pause / menus.
• %s — confirm in menus.
• %s — back in menus.

Explore the area: there should be a flashlight nearby.
Pick it up with %s and switch it with %s while holding it."
